order_id,order_date,city,product,channel,quantity,amount_eur
1,2025-11-24,Donostia,Laptop,phone,3,521
2,2025-04-25,Bilbao,Laptop,phone,5,198
3,2025-10-30,Pamplona,Laptop,web,1,467
4,2025-04-30,Madrid,Headphones,web,5,427
5,2025-11-29,Madrid,Mouse,web,4,589
6,2025-01-04,Bilbao,Mouse,store,3,338
7,2025-04-21,Vitoria,Laptop,web,4,218
8,2025-07-03,Vitoria,Headphones,store,1,960
9,2025-10-02,Donostia,Mouse,web,5,620
10,2025-11-18,Madrid,Keyboard,phone,2,162
11,2025-01-24,Bilbao,Keyboard,web,2,226
12,2025-07-14,Vitoria,Mouse,phone,3,353
13,2025-07-09,Vitoria,Monitor,phone,3,166
14,2025-11-08,Bilbao,Headphones,phone,2,354
15,2025-08-25,Pamplona,Keyboard,phone,5,469
16,2025-12-17,Vitoria,Laptop,web,1,666
17,2025-07-25,Vitoria,Laptop,web,5,664
18,2025-04-19,Pamplona,Mouse,phone,4,312
19,2025-05-16,Bilbao,Monitor,phone,5,1123
20,2025-05-15,Madrid,Mouse,phone,4,761
21,2025-04-23,Bilbao,Headphones,store,1,116
22,2025-02-26,Bilbao,Monitor,phone,4,150
23,2025-07-17,Pamplona,Headphones,store,5,534
24,2025-10-11,Donostia,Laptop,phone,5,566
25,2025-11-25,Vitoria,Laptop,store,4,343
26,2025-08-21,Donostia,Keyboard,phone,2,1059
27,2025-02-24,Vitoria,Headphones,phone,2,333
28,2025-07-11,Bilbao,Headphones,phone,1,683
29,2025-09-08,Donostia,Laptop,store,3,510
30,2025-01-30,Bilbao,Headphones,web,1,1015
31,2025-02-05,Madrid,Monitor,web,4,1145
32,2025-03-26,Vitoria,Headphones,phone,4,453
33,2025-10-04,Bilbao,Keyboard,store,3,917
34,2025-09-22,Pamplona,Laptop,web,2,151
35,2025-06-23,Donostia,Headphones,phone,2,471
36,2025-01-04,Donostia,Laptop,web,1,84
37,2025-06-19,Donostia,Headphones,web,3,1014
38,2025-04-20,Madrid,Monitor,phone,5,1200
39,2025-08-31,Bilbao,Mouse,store,2,213
40,2025-02-19,Pamplona,Keyboard,store,4,976
41,2025-01-28,Donostia,Laptop,store,3,243
42,2025-05-08,Bilbao,Monitor,phone,4,307
43,2025-08-05,Bilbao,Keyboard,store,2,174
44,2025-08-15,Madrid,Laptop,web,5,50
45,2025-02-17,Bilbao,Monitor,store,4,1005
46,2025-04-20,Pamplona,Laptop,web,4,24
47,2025-07-19,Vitoria,Mouse,store,4,1158
48,2025-12-05,Pamplona,Monitor,web,3,465
49,2025-01-30,Madrid,Headphones,web,3,137
50,2025-01-26,Madrid,Mouse,phone,5,342
51,2025-01-30,Madrid,Laptop,web,1,159
52,2025-12-12,Bilbao,Mouse,web,5,524
53,2025-10-24,Madrid,Laptop,phone,1,878
54,2025-12-03,Madrid,Headphones,phone,3,554
55,2025-04-15,Vitoria,Monitor,store,4,288
56,2025-12-10,Vitoria,Mouse,store,1,39
57,2025-08-23,Madrid,Headphones,web,1,1121
58,2025-04-20,Madrid,Keyboard,web,3,160
59,2025-05-06,Vitoria,Keyboard,web,4,1132
60,2025-12-27,Vitoria,Headphones,phone,5,36
61,2025-12-08,Madrid,Keyboard,phone,1,295
62,2025-05-16,Donostia,Laptop,phone,5,338
63,2025-05-20,Vitoria,Headphones,web,3,436
64,2025-12-18,Vitoria,Headphones,store,3,124
65,2025-02-17,Pamplona,Keyboard,web,1,703
66,2025-03-08,Vitoria,Monitor,phone,4,1149
67,2025-12-28,Pamplona,Headphones,web,1,174
68,2025-12-20,Bilbao,Headphones,web,3,1151
69,2025-03-17,Pamplona,Monitor,web,3,766
70,2025-01-21,Vitoria,Monitor,phone,2,230
71,2025-07-01,Madrid,Mouse,phone,2,504
72,2025-03-25,Bilbao,Mouse,web,2,700
73,2025-07-30,Bilbao,Keyboard,web,1,803
74,2025-01-20,Pamplona,Monitor,web,4,736
75,2025-06-06,Bilbao,Monitor,web,2,836
76,2025-06-18,Vitoria,Laptop,store,3,1063
77,2025-07-24,Madrid,Keyboard,web,1,554
78,2025-04-02,Madrid,Keyboard,web,1,909
79,2025-06-26,Vitoria,Mouse,phone,5,256
80,2025-07-17,Madrid,Monitor,store,1,913
81,2025-01-01,Madrid,Headphones,phone,2,765
82,2025-08-09,Donostia,Keyboard,phone,3,275
83,2025-06-03,Madrid,Keyboard,phone,4,688
84,2025-07-26,Vitoria,Headphones,web,2,881
85,2025-12-07,Pamplona,Monitor,phone,5,636
86,2025-07-27,Madrid,Laptop,store,3,450
87,2025-08-09,Madrid,Headphones,phone,3,972
88,2025-08-15,Pamplona,Monitor,phone,4,367
89,2025-12-04,Donostia,Keyboard,phone,5,706
90,2025-02-17,Bilbao,Keyboard,web,2,321
91,2025-01-13,Donostia,Monitor,store,5,169
92,2025-08-22,Pamplona,Headphones,web,4,1032
93,2025-07-24,Bilbao,Monitor,phone,1,238
94,2025-08-06,Bilbao,Monitor,phone,5,971
95,2025-01-26,Madrid,Monitor,web,4,293
96,2025-08-26,Madrid,Headphones,phone,3,926
97,2025-11-10,Madrid,Mouse,phone,4,345
98,2025-09-01,Pamplona,Keyboard,web,3,1087
99,2025-09-06,Bilbao,Keyboard,store,1,605
100,2025-05-01,Vitoria,Keyboard,store,5,185
101,2025-03-12,Bilbao,Monitor,store,2,458
102,2025-02-02,Pamplona,Mouse,store,5,974
103,2025-08-01,Donostia,Monitor,store,4,60
104,2025-10-22,Pamplona,Mouse,web,3,631
105,2025-07-19,Pamplona,Headphones,phone,5,471
106,2025-09-07,Bilbao,Keyboard,store,4,79
107,2025-07-19,Vitoria,Mouse,phone,2,977
108,2025-03-07,Madrid,Headphones,web,4,1175
109,2025-12-06,Donostia,Laptop,phone,4,297
110,2025-08-25,Bilbao,Laptop,store,4,690
111,2025-04-19,Pamplona,Keyboard,store,4,589
112,2025-08-04,Vitoria,Laptop,store,1,1124
113,2025-01-27,Vitoria,Monitor,phone,1,102
114,2025-01-16,Bilbao,Monitor,web,5,332
115,2025-05-03,Bilbao,Mouse,phone,1,1175
116,2025-04-22,Pamplona,Keyboard,store,2,254
117,2025-03-25,Vitoria,Laptop,phone,1,658
118,2025-10-22,Pamplona,Mouse,phone,2,175
119,2025-10-31,Bilbao,Laptop,phone,3,267
120,2025-10-17,Donostia,Keyboard,phone,4,778
